text,zone,label
"Waffenfunde; ein Tatverdächtiger ermittelt – Ramersdorf und Perlach Wie bereits berichtet, hatte ein damals unbekannter Täter im Zeitraum von Freitag, 03.11.2023, gegen 17:00 Uhr bis Samstag, 04.11.2023, gegen 21:45 Uhr, mehrere Luftdruckwaffen an verschiedenen Örtlichkeiten im Bereich Heinrich-Wieland-Straße, Ständlerstraße, Karl-Marx-Ring und Kurt-Eisener-Straße abgelegt. Im Rahmen der Ermittlungen erhärtete sich gegenüber einem 24-Jährigen mit Wohnsitz in München ein Tatverdacht. Das Kommissariat 26 erwirkte zusammen mit der Staatsanwaltschaft München I einen richterlichen Durchsuchungsbeschluss für die Wohnung, welcher am Mittwoch, 20.12.2023, vollzogen wurde. Der 24-Jährige konnte hierbei ebenso angetroffen werden. Bei der Wohnungsdurchsuchung wurden weitere Luftdruckgewehre und Waffenzubehör aufgefunden und anschließend sichergestellt. Nach den polizeilichen Maßnahmen wurde er wieder entlassen. Die weiteren Ermittlungen führt das Kommissariat 26 der Münchner Kriminalpolizei.",16,1
"Versuchter Einbruch in Kinderbetreuungseinrichtung; Festnahme eines Tatverdächtigen – Trudering-Riem Am Mittwoch, 20.12.2023, gegen 21:15 Uhr, konnten Polizeibeamte der Bayerischen Bereitschaftspolizei Einbruchsspuren an einer Kinderbetreuungseinrichtung feststellen. In der Betreuungseinrichtung konnte ein 25-Jähriger mit Wohnsitz in München unberechtigt angetroffen und festgenommen werden. Nach den ersten Ermittlungen hatte der Tatverdächtige ein Fenster gewaltsam geöffnet und sich so Zutritt verschafft. Im Rahmen der polizeilichen Sachbearbeitung wurde bekannt, dass gegenüber dem 25-Jährigen ein Haftbefehl besteht. Er wurde daher nach den polizeilichen Maßnahmen der Haftanstalt des Polizeipräsidiums München überstellt. Gegen ihn wurde ein Ermittlungsverfahren wegen versuchten Einbruchs eingeleitet. Das Kommissariat 52 (Einbruchsdelikte) führt die weiteren Ermittlungen in diesem Fall.",15,3
"Fahrzeugbrand – Bogenhausen Am Dienstag, 26.12.2023, gegen 19:30 Uhr, erhielt die Polizei die Mitteilung über einen brennenden Pkw in der Englschalkinger Straße. In einer Tiefgarage war ein Pkw Toyota in Brand geraten. Die Feuerwehr konnte den Brand löschen. Personen wurden hierbei nicht verletzt. Ein Brandfahnder des Kommissariats 13 begutachtete den Pkw vor Ort. Nach den ersten Ermittlungen kann ein technischer Defekt nicht ausgeschlossen werden. Die Höhe des Sachschadens ist derzeit noch Gegenstand der Ermittlungen.",13,1
"Einbruch in Gaststätte – Maxvorstadt Am Sonntag, 24.12.2023, gegen 02:30 Uhr, gelang ein bislang unbekannter männlicher Täter gewaltsam durch ein Fenster in die Räumlichkeiten einer Gaststätte. Dort entwendete er unter anderem eine Geldkassette, sowie Bargeld in Höhe von mehreren hundert Euro. Im Anschluss flüchtete er unerkannt in unbekannte Richtung. Die weiteren Ermittlungen in diesem Fall führt das Kommissariat 52 (Einbruchsdelikte) der Münchner Kriminalpolizei. Zeugenaufruf: Wer hat im angegebenen Zeitraum im Bereich der Dachauer Straße, Karlstraße, Marsstraße (Maxvorstadt) Wahrnehmungen gemacht, die im Zusammenhang mit diesem Vorfall stehen könnten? Personen, die sachdienliche Hinweise geben können, werden gebeten, sich mit dem Polizeipräsidium München, Kommissariat 52, Tel. 089/2910-0, oder jeder anderen Polizeidienststelle in Verbindung zu setzen.",3,2
"Versuchter Einbruch in Wohnung – Feldmoching-Hasenbergl Am Mittwoch, 27.12.2023, gegen 01:45 Uhr, bemerkte ein 33-jähriger Bewohner, welcher sich zur Tatzeit in der Wohnung befand, Geräusche an seiner Terrassentüre. Er stellte fest, dass ein bislang unbekannter Täter versuchte, gewaltsam in die Wohnung einzudringen. Der unbekannte Täter flüchtete anschließend in unbekannte Richtung. An der Terrassentüre entstand ein Schaden in Höhe von mehreren tausend Euro. Die weiteren Ermittlungen in diesem Fall führt das Kommissariat 53 (Einbruchsdelikte) der Münchner Kriminalpolizei. Der Täter wird wie folgt beschrieben: Männlich, athletischer Körperbau, schwarze Bomberjacke Zeugenaufruf: Wer hat im angegebenen Zeitraum im Bereich der Lassallestraße, Himmelschlüsselstraße, Paula-Breitenbach-Weg Wahrnehmungen gemacht, die im Zusammenhang mit diesem Vorfall stehen könnten? Personen, die sachdienliche Hinweise geben können, werden gebeten, sich mit dem Polizeipräsidium München, Kommissariat 53, Tel. 089/2910-0, oder jeder anderen Polizeidienststelle in Verbindung zu setzen.",24,2
"Versuchter Einbruch in Wohnung – Laim Am Montag, 25.12.2023, gegen 20:00 Uhr, stellte eine 43-Jährige fest, dass in ihre Wohnung eingebrochen worden war. Sie verständigte sofort den Notruf der Polizei. Nach den ersten Erkenntnissen gelangten ein oder mehrere bislang unbekannte Täter in die Wohnung, indem sie gewaltsam durch ein Fenster eindrangen. Anschließend verließen sie ohne Tatbeute die Wohnung. Es entstand ein Sachschaden von mehreren tausend Euro. Die weiteren Ermittlungen in diesem Fall führt das Kommissariat 53 (Einbruchsdelikte) der Münchner Kriminalpolizei. Zeugenaufruf: Wer hat im angegebenen Zeitraum zwischen 14:30 Uhr und 19:30 Uhr im Bereich der Perhamerstraße, Rapotostraße, Lutzstraße (Laim) Wahrnehmungen gemacht, die im Zusammenhang mit diesem Vorfall stehen könnten? Personen, die sachdienliche Hinweise geben können, werden gebeten, sich mit dem Polizeipräsidium München, Kommissariat 53, Tel. 089/2910-0, oder jeder anderen Polizeidienststelle in Verbindung zu setzen.",25,2
"Körperverletzungsdelikt; eine Person festgenommen – Maxvorstadt Bereits am Freitag, 22.12.2023, gegen 20:45 Uhr, kam es im Alten Botanischen Garten zu einer körperlichen Auseinandersetzung zwischen mehreren beteiligten Personen. Dabei hat unter anderem ein 27-Jähriger einen 24-Jährigen (beide Somalische Staatsangehörige) geschlagen. Ein zufällig vorbeikommender 26-jähriger Münchner Polizeibeamter, welcher gerade privat in seiner Freizeit im Bereich der Elisenstraße unterwegs war, bemerkte den Vorfall, informierte den Polizeinotruf 110 und wollte daraufhin schlichtend eingreifen. Als er sich gegenüber den Beteiligten als Polizeibeamter zu erkennen gab, ist er unvermittelt vom 27-Jährigen angegriffen worden. Hierbei ist dem Polizeibeamten mehrfach vom 27-Jährigen ins Gesicht geschlagen worden. Erst als hinzugerufene Streifen der Münchner Polizei eintrafen, konnten sie den 27-Jährigen vorläufig festnehmen. Nach seiner Festnahme leistete der 27-Jährige weiterhin Widerstand. Bei der Auseinandersetzung wurde der 27-Jährige leicht verletzt und musste mit einem Rettungswagen ambulant in ein Krankenhaus gebracht werden. Nach dortiger Versorgung ist er zu einer Polizeiinspektion verbracht worden. Eine Blutentnahme wurde durchgeführt und er wurde wegen Körperverletzung und Widerstandes gegenüber Polizeibeamten angezeigt. Anschließend ist er entlassen worden. Der 26-jährige Polizeibeamte wurde bei dem tätlichen Angriff leicht verletzt. Hinsichtlich der Hintergründe für die Körperverletzung und der genauen Tatabläufe sind noch weitere Ermittlungen der Münchner Kriminalpolizei notwendig.",3,3
"Einsturz eines Baugerüstes – Untergiesing Am Samstag, 23.12.2023, gegen 12:15 Uhr, meldeten sich mehrere Zeugen bei dem Polizeinotruf 110 und sie teilten mit, dass soeben ein Baugerüst an einem mehrstöckigen Haus in der Grünwalder Straße auf die Straße gestürzt wäre. Sofort wurden mehrere Streifen der Polizei sowie viele Einsatzkräfte der Feuerwehr zur Einsatzörtlichkeit geschickt. Durch den Einsturz des Gerüstes waren mehrere dort stehende Pkw sowie die dortige Oberleitung der Straßenbahn beschädigt worden. Durch die Polizei wurden umfangreiche Verkehrssperrungen um den Bereich der Einsatzörtlichkeit eingerichtet. Diese Sperrungen während der Bergungsarbeiten der Feuerwehr dauerten bis circa 17:15 Uhr. Die beschädigten Fahrzeuge (3 Pkw, Mercedes, VW und Fiat) wurden von der Polizei abgeschleppt. In einem dieser Fahrzeuge befand sich bei dem Vorfall eine Person. Diese wurde leicht verletzt und musste nicht weiter behandelt werden. Der Gesamtschaden wird momentan auf circa 200.000.- Euro geschätzt. Das Kommissariat 13 (Brand- und Betriebsunfälle) prüft mögliche rechtliche Verstöße, die im Kontext mit dem Vorfall stehen könnten.",18,1
"Einbruch in ein Haus – Allach Am Sonntag, 24.12.2023, zwischen 16:00 und 17:40 Uhr, konnten bislang unbekannte Täter in ein Einfamilienhaus einbrechen, indem sie eine Terrassentüre gewaltsam öffneten. In dem Haus entwendeten sie Bekleidung, Schmuck und mehrere hundert Euro Bargeld. Nach der Tat entfernten sich die Täter unerkannt vom Tatort. Die Münchner Kriminalpolizei hat vor Ort Spurensicherungsmaßnahmen durchgeführt und das Kommissariat 53 (Einbruchsdelikte) hat die Ermittlungen aufgenommen. Zeugenaufruf: Wer hat im angegebenen Zeitraum im Bereich der Pfarrer-Grimm-Straße, Anton-Fehr-Straße, Bechtolsheimstraße (Allach) Wahrnehmungen gemacht, die im Zusammenhang mit diesem Vorfall stehen könnten? Personen, die sachdienliche Hinweise geben können, werden gebeten, sich mit dem Polizeipräsidium München, Kommissariat 53, Tel. 089/2910-0, oder jeder anderen Polizeidienststelle in Verbindung zu setzen.",23,2
"Einbruch in ein Geschäft – Trudering Am Sonntag, 24.12.2023, gegen 00:45 Uhr, konnte ein bislang unbekannter Täter in ein Geschäft einbrechen, indem er eine Hintertür gewaltsam öffnete. In dem Geschäft entwendete er Zigaretten und verschiedene Lose im Gesamtwert von über tausend Euro. Nach der Tat entfernte er sich unerkannt vom Tatort. Vor Ort wurden Spurensicherungsmaßnahmen von der Münchner Kriminalpolizei durchgeführt und das Kommissariat 52 (Einbruchsdelikte) hat die Ermittlungen aufgenommen. Zeugenaufruf: Wer hat im angegebenen Zeitraum im Bereich der Truderinger Straße, Schmuckerweg (Trudering) Wahrnehmungen gemacht, die im Zusammenhang mit diesem Vorfall stehen könnten? Personen, die sachdienliche Hinweise geben können, werden gebeten, sich mit dem Polizeipräsidium München, Kommissariat 52, Tel. 089/2910-0, oder jeder anderen Polizeidienststelle in Verbindung zu setzen.",15,2
